dpto_ccdgo,mpio_ccdgo,mpio_cdpmp,clas_ccdgo,setr_ccdgo,setr_ccnct,secr_ccdgo,secr_ccnct,zu_ccdgo,zu_cdivi,zu_cnmbre,zu_ccnct,zu_narea,zu_naltd,zu_nano,shape_Leng,shape_Area,AUrban,CZ_mean
"05","055","05055","1","000","050551000","00","05055100000","000","05055000",ARGELIA,"05055100000000",563181.77094800002,1750.00000000000,2024,0.04760825175,0.00004596134,562871.1588000000,1743.57811042444
"66","075","66075","1","000","660751000","00","66075100000","000","66075000",BALBOA,"66075100000000",270233.53212699998,1575.00000000000,2024,0.04565818206,0.00002201025,270230.1908000000,1582.07897949219
"25","799","25799","1","000","257991000","00","25799100000","000","25799000",TENJO,"25799100000000",1709700.90773999994,2580.00000000000,2024,0.07035874726,0.00013938765,1707644.1699999999,2589.5590216004
"05","819","05819","1","000","058191000","00","05819100000","000","05819000",TOLEDO,"05819100000000",272889.24712999997,1806.00000000000,2024,0.02283164865,0.00002231471,272835.1999000000,1823.21133243336
"11","001","11001","1","000","110011000","00","11001100000","000","11001000","BOGOTÁ, DISTRITO CAPITAL","11001100000000",418472513.14899998903,2630.00000000000,2024,2.22549139247,0.03410631407,417959130.1999999881,2599.96183842218
"76","246","76246","1","000","762461000","00","76246100000","000","76246000",EL CAIRO,"76246100000000",396928.45994999999,1903.00000000000,2024,0.05518548752,0.00003231020,396996.6736000000,1907.66092064267
"05","142","05142","1","000","051421000","00","05142100000","000","05142000",CARACOLÍ,"05142100000000",321809.40904100001,620.00000000000,2024,0.06849560971,0.00002630047,321550.3883000000,624.863377770712
"44","378","44378","1","000","443781000","00","44378100000","000","44378000",HATONUEVO,"44378100000000",2828664.02933999989,180.00000000000,2024,0.08291383511,0.00023392356,2822738.9249999998,184.729369533763
"20","045","20045","1","000","200451000","00","20045100000","000","20045000",BECERRIL,"20045100000000",3003990.73704000004,1805.00000000000,2024,0.10605843138,0.00024744854,2998685.5950000002,110.23059351304
"63","190","63190","1","000","631901000","00","63190100000","000","63190000",CIRCASIA,"63190100000000",3262137.99600999989,1765.30000000000,2024,0.09475946460,0.00026566216,3261408.1850000001,1765.11267798431
"54","003","54003","1","000","540031000","00","54003100000","000","54003000",ÁBREGO,"54003100000000",1892614.13153999997,1386.00000000000,2024,0.11744094969,0.00015522471,1889199.1550000000,1390.644720404
"41","298","41298","1","000","412981000","00","41298100000","000","41298000",GARZÓN,"41298100000000",5726007.15206000023,828.00000000000,2024,0.30145926403,0.00046517661,5724736.6739999996,844.87819773128
"63","470","63470","1","000","634701000","00","63470100000","000","63470000",MONTENEGRO,"63470100000000",3118127.38977999985,1300.00000000000,2024,0.11945053234,0.00025388760,3117666.1260000002,1285.82735211283
"05","088","05088","1","000","050881000","00","05088100000","000","05088000",BELLO,"05088100000000",22897427.14990000054,1460.00000000000,2024,0.43315948639,0.00187008840,22890931.2600000016,1507.37156573402
"05","129","05129","1","000","051291000","00","05129100000","000","05129000",CALDAS,"05129100000000",4047533.99747999990,1753.00000000000,2024,0.23715929225,0.00033039965,4046598.3100000001,1777.02540781088
"52","227","52227","1","000","522271000","00","52227100000","000","52227000",CUMBAL,"52227100000000",2035107.64666000009,3147.00000000000,2024,0.08642481569,0.00016465540,2037582.2840000000,3125.67527105869
"08","634","08634","1","000","086341000","00","08634100000","000","08634000",SABANAGRANDE,"08634100000000",3305051.13039000006,10.00000000000,2024,0.09914496611,0.00027317427,3302334.7700000000,8.10823382058132
