,DEPARTAMENTO,nombre,latitud,longitud,altitud,ThermalLevelValue
93,Tolima,CERROS NOROCCIDENTALES  - AUT [21215160],4.47036111,-75.24386111,1946,"Frío, 18°C>T>12°C, <=2800meter"
97,Tolima,HACIENDA PAJONALES [21255160],4.76072222,-74.83425,277,"Cálido, T>=24°C, <=800meter"
124,RIsaralda,SANTA EMILIA - AUT [26145090],5.20747222,-75.90294444,1748,"Templado, 24°C>T>18°C, <=1800meter"
111,Tolima,MURILLO - AUT [21255170],4.87055556,-75.17327778,323,"Cálido, T>=24°C, <=800meter"
109,RIsaralda,SANTA ROSA - AUT [26135310],4.84686111,-75.63563889,1898,"Frío, 18°C>T>12°C, <=2800meter"
136,Cundinamarca,BASE PALANQUERO  - AUT [23035030],5.49286111,-74.658,170,"Cálido, T>=24°C, <=800meter"
105,Cundinamarca,SANTA CRUZ DE SIECHA  - AUT [21206980],4.78427778,-73.87080556,3100,"Muy Frío, 12°C>T>6°C, <=3700meter"
3,Putumayo,EL PEPINO - AUT [44015070],1.08288889,-76.66711111,760,"Cálido, T>=24°C, <=800meter"
63,Cauca,INZA - AUT [21055070],2.54819444,-76.06394444,1800,"Templado, 24°C>T>18°C, <=1800meter"
168,Antioquia,PAJARITO - AUT [27015290],6.28633333,-75.61279167,1952,"Frío, 18°C>T>12°C, <=2800meter"
120,Casanare,AEROPUERTO YOPAL - AUT [35215020],5.32044444,-72.3875,325,"Cálido, T>=24°C, <=800meter"
61,Boyacá,NEVADO DEL COCUY - AUT [24035380],6.50911111,-72.31416667,4676,"Extremadamente Frio, 6°C>T>0°C, <=4700meter"
163,Boyacá,EL ESPINO - AUT [24035370],6.50672222,-72.45266667,3510,"Muy Frío, 12°C>T>6°C, <=3700meter"
159,Casanare,EL DIAMANTE - AUT [36015020],5.81619444,-71.41983333,160,"Cálido, T>=24°C, <=800meter"
303,Cauca,HACIENDA SUECIA - AUT [26035100],2.47955556,-76.82775,1755,"Templado, 24°C>T>18°C, <=1800meter"
166,Chocó,BAHIA SOLANO - AUT [56019010],6.26863889,-77.43316667,21,"Cálido, T>=24°C, <=800meter"
7,Nariño,CERRO PARAMO  - AUT [52055150],0.84311111,-77.38880556,3585,"Muy Frío, 12°C>T>6°C, <=3700meter"
102,Tolima,BATALLON ROOKE  - AUT [21215180],4.41838889,-75.24866667,1323,"Templado, 24°C>T>18°C, <=1800meter"
1,Nariño,LA JOSEFINA - AUT [52055170],0.93030556,-77.49119444,2450,"Frío, 18°C>T>12°C, <=2800meter"
81,Tolima,CAJAMARCA - AUT [21215190],4.43566667,-75.50036111,2530,"Frío, 18°C>T>12°C, <=2800meter"
94,Tolima,LA MARTINICA - AUT [21215170],4.402,-75.22905556,1780,"Templado, 24°C>T>18°C, <=1800meter"
12,Nariño,BIOTOPO - AUT [51025060],1.40863889,-78.28161111,512,"Cálido, T>=24°C, <=800meter"
134,RIsaralda,PARAMO TATAMA [26145080],5.12386111,-76.061,3814,"Extremadamente Frio, 6°C>T>0°C, <=4700meter"
20,Nariño,RICAURTE - AUT [51025070],1.21533333,-77.99691667,1210,"Templado, 24°C>T>18°C, <=1800meter"
917,Nariño,VOLCAN CHILES  - AUT [52055160],0.84658333,-77.92122222,442,"Cálido, T>=24°C, <=800meter"
414,Caquetá,FLORENCIA - AUT [44035040],1.733,-75.64502778,600,"Cálido, T>=24°C, <=800meter"
6,Caquetá,CHIRIBIQUETE - AUT [44135030],-0.07416667,-72.45138889,256,"Cálido, T>=24°C, <=800meter"
5,Amazonas,CAHUINARI - AUT [44135020],-1.35166667,-70.80375,118,"Cálido, T>=24°C, <=800meter"
233,Magdalena,BATALLON NO. 6 - AUT [29065120],10.46536111,-73.92777778,1280,"Templado, 24°C>T>18°C, <=1800meter"
200,Cesar,GUATAPURI - AUT [28035070],10.73213889,-73.39241667,1315,"Templado, 24°C>T>18°C, <=1800meter"
141,Chocó,PIE DE PATO - AUT [55015010],5.52108333,-76.97316667,40,"Cálido, T>=24°C, <=800meter"
18,Putumayo,ACUEDUCTO MOCOA - AUT [44015060],1.15733333,-76.65183333,650,"Cálido, T>=24°C, <=800meter"
4407,Meta,ICA VILLAVICENCIO [35030370]VILLAVICENCIO SEDE IDEAM -ICA,4.14,-73.62,444,"Cálido, T>=24°C, <=800meter"
330,Norte de Santander,AGUAS DE LA VIRGEN  - AUT [16055120],8.22769444,-73.3975,1700,"Templado, 24°C>T>18°C, <=1800meter"
3756,Atlantico,LAS FLORES - AUT [29045180],11.03936111,-74.81975,2,"Cálido, T>=24°C, <=800meter"
1313,Atlantico,DARCENA BARRANQUIL [29047080],10.97,-74.76,2,"Cálido, T>=24°C, <=800meter"
761,Santander,VOLCAN EL [24035400],6.84527778,-72.67777778,2841,"Muy Frío, 12°C>T>6°C, <=3700meter"
586,Atlantico,TAJAMAR OCCIDENTAL [14019040],11.10630556,-74.85472222,1,"Cálido, T>=24°C, <=800meter"
2416,Chocó,PUERTO MELUK AUTO [55017010],5.18988889,-76.95422222,31,"Cálido, T>=24°C, <=800meter"
1345,Tolima,BODEGA LA [21240110],4.73561111,-75.13891667,2670,"Frío, 18°C>T>12°C, <=2800meter"
2769,Antioquia,NECHI [27040040],8.09716667,-74.76944444,180,"Cálido, T>=24°C, <=800meter"
2928,Valle del Cauca,BASE AEREA MARCO FIDEL SUAREZ  - AUT [26085170],3.36041667,-76.29972222,975,"Templado, 24°C>T>18°C, <=1800meter"
580,Magdalena,FILO CARTAGENA [15010310],11.10027778,-73.84322222,750,"Cálido, T>=24°C, <=800meter"
68,Valle del Cauca,UNIVERSIDAD DEL VALLE  - AUT [26055120],3.378,-76.53388889,996,"Templado, 24°C>T>18°C, <=1800meter"
4270,Antioquia,AEROPUERTO J.M. CORDOVA - AUT [23085270],6.17,-75.43,2157,"Frío, 18°C>T>12°C, <=2800meter"
