,nombre,latitud,longitud,altitud,ThermalLevelValue
1974,MUZO [23120050],5.53480556,-74.10122222,850,"Templado, 24°C>T>18°C, <=1800meter"
904,MOGOTES [24020050],6.47,-72.96888889,1673,"Templado, 24°C>T>18°C, <=1800meter"
3882,SAN JAVIER/PUENTE ZULIA - AUT [16027120],7.83388889,-72.65027778,270,"Cálido, T>=24°C, <=800meter"
3351,VETAS [23190160],7.31666667,-72.86666667,3100,"Muy Frío, 12°C>T>6°C, <=3700meter"
847,BOAVITA [24030280],6.33333333,-72.6,20,"Cálido, T>=24°C, <=800meter"
3056,REPELON [29037060],10.49,-75.12694444,10,"Cálido, T>=24°C, <=800meter"
901,MACARAVITA [24030290],6.49394444,-72.58136111,1856,"Frío, 18°C>T>12°C, <=2800meter"
3636,NARINO [52040070],1.28277778,-77.355,2590,"Frío, 18°C>T>12°C, <=2800meter"
3349,MUTISCUA-LA CALDER [16020090],7.3,-72.75,2650,"Frío, 18°C>T>12°C, <=2800meter"
3684,CHACHAGUI [52040030],1.36666667,-77.28333333,20,"Cálido, T>=24°C, <=800meter"
1846,COMBITA [24030310],5.62891667,-73.324,2820,"Muy Frío, 12°C>T>6°C, <=3700meter"
944,CARCASI [24030320],6.6275,-72.63,224,"Cálido, T>=24°C, <=800meter"
878,PARAMO [24020090],6.41666667,-73.16666667,1353,"Templado, 24°C>T>18°C, <=1800meter"
858,CHIMA [24010220],6.355,-73.36833333,190,"Cálido, T>=24°C, <=800meter"
906,PUERTO BERRIO [23090040],6.5,-74.4,125,"Cálido, T>=24°C, <=800meter"
3527,SAN ESTANISLAO [29030050],10.40411111,-75.16183333,20,"Cálido, T>=24°C, <=800meter"
850,CONFINES [24010230],6.35527778,-73.23972222,1523,"Templado, 24°C>T>18°C, <=1800meter"
979,CEPITA [24030300],6.75305556,-72.975,600,"Cálido, T>=24°C, <=800meter"
1999,SANTA MARIA [21120020],2.9375,-75.58666667,1315,"Templado, 24°C>T>18°C, <=1800meter"
1403,CAMPOALEGRE [21100010],2.68333333,-75.33333333,490,"Cálido, T>=24°C, <=800meter"
3070,CALAMAR [29030030],10.23333333,-74.91666667,10,"Cálido, T>=24°C, <=800meter"
3682,BUESACO [52040040],1.40416667,-77.14972222,220,"Cálido, T>=24°C, <=800meter"
2561,DIBULLA [15030010],11.27522222,-73.31219444,5,"Cálido, T>=24°C, <=800meter"
2863,MANATI [29030020],10.45,-74.96666667,8,"Cálido, T>=24°C, <=800meter"
1420,CUNDAY [21160030],4.06638889,-74.68761111,448,"Cálido, T>=24°C, <=800meter"
1275,TIBANA [35070040],5.31527778,-73.39594444,2115,"Frío, 18°C>T>12°C, <=2800meter"
3061,TABLAZO EL [24067010],7.03888889,-73.34083333,192,"Cálido, T>=24°C, <=800meter"
2626,SINCELEJO [25020130],9.30816667,-75.40683333,200,"Cálido, T>=24°C, <=800meter"
4329,SAHAGUN - AUT [25020140],8.94999722,-75.45,60,"Cálido, T>=24°C, <=800meter"
2762,TOPE EL [24030330],6.93972222,-72.93166667,250,"Cálido, T>=24°C, <=800meter"
3322,CAMPO HERMOSO [37020030],7.09888889,-72.30027778,1660,"Templado, 24°C>T>18°C, <=1800meter"
1327,CABRERA [21190090],3.98697222,-74.48355556,1900,"Frío, 18°C>T>12°C, <=2800meter"
2917,SILOS [37010070],7.2075,-72.75333333,2765,"Frío, 18°C>T>12°C, <=2800meter"
658,ESPERANZA LA [25021340],9.24916667,-74.73611111,18,"Cálido, T>=24°C, <=800meter"
3252,ARJONA [29030040],10.25027778,-75.35444444,60,"Cálido, T>=24°C, <=800meter"
2717,TOLU [13090070],9.51916667,-75.59111111,2,"Cálido, T>=24°C, <=800meter"
564,CHIMA [13070300],9.15,-75.61666667,30,"Cálido, T>=24°C, <=800meter"
957,MOLAGAVITA [24030340],6.67166667,-72.81138889,2150,"Frío, 18°C>T>12°C, <=2800meter"
